Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Depreciation,Depreciation_Percentage,Vehicle_Age
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,2.2399999999999998,45.807770961145195,5
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,3.1000000000000005,74.6987951807229,12
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,1.9100000000000001,24.77302204928664,3
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,1.5399999999999991,16.576964477933252,1
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,15.709999999999999,51.32309702711532,6
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,7.609999999999999,24.861156484808884,3
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,1.7699999999999996,8.952959028831561,1
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,14.61,47.729500163345314,5
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,7.460000000000001,73.06562193927523,13
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,11.44,76.06382978723404,9
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,2.7699999999999996,38.101788170563964,3
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,13.79,74.3797195253506,8
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,2.7,39.70588235294118,4
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,15.970000000000002,44.410456062291445,4
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,11.66,62.65448683503493,5
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,3.2,41.55844155844156,3
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,17.21,47.858731924360406,4
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,12.46,34.64961067853171,3
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,3.229999999999997,8.915263593706864,1
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,2.2,31.654676258992808,4
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,3.3999999999999986,14.686825053995674,1
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,11.2,54.76772616136919,8
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,9.39,68.3406113537118,7
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,6.66,31.85078909612626,2
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,2.8099999999999996,41.5680473372781,4
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,7.98,63.9423076923077,7
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,11.16,59.967759269210106,5
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,3.06,53.59019264448336,7
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,4.029999999999999,45.128779395296746,4
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,2.8499999999999996,41.91176470588235,3
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,9.18,62.53405994550408,5
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,10.85,87.85425101214574,14
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,17.58,77.00394218134034,8
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,16.11,52.62985952303168,6
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,0.16000000000000014,1.0745466756212232,2
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,3.0999999999999996,39.49044585987261,3
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,2.3900000000000006,9.413154785348564,1
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,0.9600000000000009,7.132243684992575,3
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,9.97,74.07132243684993,13
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,21.23,89.46481247366204,12
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,57.599999999999994,62.20302375809935,8
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,7.84,57.05967976710335,6
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,2.5999999999999996,42.97520661157024,5
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,2.01,29.733727810650883,4
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,14.809999999999999,79.58087049973133,9
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,4.84,30.080795525170913,4
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,10.19,74.37956204379562,13
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,7.609999999999999,24.861156484808884,3
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,18.78,82.44073748902547,10
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,12.76,68.56528747984954,6
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,4.640000000000001,18.27491138243403,2
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,1.6400000000000006,8.798283261802577,1
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,11.559999999999999,62.117141321869966,5
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,10.799999999999999,52.81173594132029,8
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,0.1499999999999999,7.894736842105258,2
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,0.1200000000000001,6.593406593406599,1
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,0.13000000000000012,7.303370786516861,1
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,0.15000000000000013,9.375000000000009,1
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,0.11999999999999988,8.163265306122442,1
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,1.02,43.0379746835443,3
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,2.1,60.86956521739131,4
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,0.25,16.666666666666664,5
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,0.30000000000000004,20.000000000000004,2
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,0.27,18.367346938775512,1
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,0.5800000000000001,32.58426966292135,2
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,0.3500000000000001,23.33333333333334,2
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,1.25,52.083333333333336,4
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,0.25,17.857142857142858,2
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,0.32000000000000006,21.768707482993204,3
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,0.3599999999999999,24.48979591836734,3
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,0.3699999999999999,25.170068027210878,5
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,0.7999999999999998,42.105263157894726,3
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,0.3699999999999999,25.170068027210878,3
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,0.8499999999999999,44.73684210526315,5
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,0.20999999999999996,16.666666666666664,2
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,0.44999999999999996,30.0,7
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,0.11999999999999988,10.256410256410248,2
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,0.47,31.972789115646254,5
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,0.8,45.714285714285715,6
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,0.85,48.57142857142857,9
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,0.04999999999999993,5.263157894736835,1
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,0.050000000000000044,6.250000000000005,2
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,0.06999999999999995,8.045977011494248,1
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,0.05999999999999994,7.142857142857137,1
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,0.12,13.793103448275861,1
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,0.06999999999999995,8.536585365853654,3
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,0.19999999999999996,21.052631578947363,1
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,0.22999999999999998,24.210526315789473,2
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,0.16000000000000003,19.75308641975309,1
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,0.08999999999999997,12.162162162162158,3
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,0.5499999999999999,45.83333333333333,4
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,0.137,17.407878017789074,5
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,0.27,31.03448275862069,2
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,0.35,36.84210526315789,3
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,0.6,50.0,5
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,0.20000000000000007,25.000000000000007,2
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,0.24,28.57142857142857,3
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,0.24,28.57142857142857,2
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,0.39,39.3939393939394,4
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,0.21000000000000008,25.925925925925934,6
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,0.237,30.114358322744593,4
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,0.2899999999999999,34.52380952380952,3
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,0.41999999999999993,44.68085106382978,8
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,0.42999999999999994,45.744680851063826,2
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,0.32599999999999996,39.46731234866828,7
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,0.050000000000000044,9.090909090909099,2
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,0.49,49.494949494949495,6
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,0.49,49.494949494949495,5
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,0.38,43.18181818181818,4
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,0.030000000000000027,5.8823529411764754,1
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,0.040000000000000036,7.692307692307699,1
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,0.36,42.857142857142854,3
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,0.06000000000000005,11.11111111111112,1
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,0.06,11.76470588235294,1
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,0.49999999999999994,52.63157894736842,7
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,0.37599999999999995,45.52058111380145,4
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,0.54,54.545454545454554,6
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,0.49999999999999994,52.63157894736842,8
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,0.09000000000000002,16.66666666666667,2
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,0.09000000000000002,16.66666666666667,2
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,0.10000000000000003,18.181818181818183,2
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,0.39000000000000007,48.14814814814815,4
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,0.31,42.465753424657535,5
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,0.14,25.925925925925924,3
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,0.42999999999999994,51.80722891566265,6
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,0.15000000000000002,27.272727272727277,3
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,0.24,37.5,4
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,0.10999999999999999,21.56862745098039,1
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,0.33999999999999997,47.22222222222222,3
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,0.40700000000000003,51.715374841168995,7
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,0.7000000000000001,66.66666666666667,7
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,0.21999999999999997,38.59649122807017,2
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,0.17000000000000004,32.6923076923077,4
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,0.74,70.47619047619047,8
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,0.21000000000000002,41.1764705882353,6
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,0.18,37.5,2
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,0.27999999999999997,48.275862068965516,5
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,0.19999999999999996,42.553191489361694,5
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,0.5,66.66666666666666,10
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,0.32999999999999996,56.89655172413792,10
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,0.27,51.92307692307693,8
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,0.26,50.98039215686274,5
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,0.31999999999999995,56.14035087719298,5
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,0.36999999999999994,64.91228070175438,13
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,0.55,73.33333333333334,10
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,0.36999999999999994,64.91228070175438,6
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,0.55,73.33333333333334,11
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,0.45,69.23076923076923,5
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,0.587,74.58703939008893,10
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,0.14,43.75000000000001,3
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,0.35,67.3076923076923,10
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,0.35,68.62745098039214,8
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,0.41999999999999993,73.68421052631578,7
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,0.45999999999999996,79.3103448275862,11
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,0.65,86.66666666666667,12
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,3.54,52.13549337260678,8
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,1.2999999999999998,22.807017543859644,3
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,1.6499999999999995,35.8695652173913,7
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,1.6799999999999997,37.92325056433408,3
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,0.4500000000000002,7.8947368421052655,2
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,1.38,19.35483870967742,1
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,0.5499999999999998,9.649122807017541,3
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,0.1999999999999993,2.469135802469127,1
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,0.8500000000000005,14.912280701754394,3
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,1.4999999999999996,32.60869565217391,6
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,3.039999999999999,20.554428668018925,3
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,2.3499999999999996,17.27941176470588,2
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,3.89,57.2901325478645,7
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,0.4500000000000002,7.8947368421052655,1
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,4.9,52.12765957446809,6
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,1.5299999999999998,34.5372460496614,2
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,1.2799999999999998,28.893905191873586,2
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,2.95,31.382978723404253,4
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,4.9,52.12765957446809,6
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,0.9299999999999997,20.99322799097065,1
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,2.29,33.726067746686304,5
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,1.5999999999999996,21.052631578947363,4
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,1.1500000000000004,12.234042553191493,3
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,4.29,45.638297872340424,5
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,1.8999999999999995,41.304347826086946,7
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,0.4500000000000002,7.8947368421052655,3
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,1.88,42.43792325056434,7
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,4.45,47.340425531914896,6
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,3.69,54.34462444771723,6
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,3.25,34.57446808510638,5
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,0.15000000000000036,1.5957446808510676,1
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,3.34,22.58282623394185,3
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,1.8000000000000003,31.578947368421055,5
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,0.20000000000000018,3.5087719298245648,3
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,0.3000000000000007,3.191489361702135,1
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,1.3299999999999996,30.022573363431142,2
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,2.3499999999999996,17.27941176470588,3
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,4.6000000000000005,48.93617021276596,5
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,2.4299999999999997,54.853273137697514,6
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,4.050000000000001,43.08510638297873,6
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,2.38,33.38008415147265,3
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,2.7299999999999995,38.28892005610098,4
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,1.3499999999999996,17.76315789473684,2
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,3.45,36.702127659574465,5
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,4.2,44.680851063829785,6
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,3.04,44.77172312223859,6
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,3.45,36.702127659574465,3
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,0.5999999999999996,13.04347826086956,5
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,2.3499999999999996,30.921052631578945,2
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,0.6999999999999993,5.147058823529407,2
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,4.9,49.494949494949495,5
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,1.42,20.821114369501466,3
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,2.7,27.272727272727277,4
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,4.65,46.96969696969697,5
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,2.3499999999999996,43.92523364485981,6
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,3.3499999999999996,24.632352941176467,2
